2024-07-29 18:07:31.442 | INFO     | __main__:main:115 - model_type='gpt-4o-2024-05-13'
2024-07-29 18:07:31.442 | INFO     | __main__:main:116 - random_seed=10
2024-07-29 18:07:31.442 | INFO     | __main__:main:117 - half_number=1
2024-07-29 18:07:31.442 | INFO     | __main__:main:194 - Start subcategory classification.
2024-07-29 18:07:32.770 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 18:07:33.674 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:34.603 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:35.607 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:36.452 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:37.110 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:37.999 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:38.872 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:39.803 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:40.683 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:41.806 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:42.669 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:43.538 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:44.460 | INFO     | __main__:annotate_subcategory:175 - subcategory:Unrelated
2024-07-29 18:07:45.367 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:46.214 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:46.823 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:47.623 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 18:07:48.592 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:49.303 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:49.859 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:50.478 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:51.357 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:52.761 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:53.667 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:54.559 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:55.459 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:56.026 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:57.737 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:58.687 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:07:59.679 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:00.659 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:01.425 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:02.745 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:03.315 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 18:08:03.980 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:04.935 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:05.906 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:06.611 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:07.448 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:08.223 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:09.254 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:10.226 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:11.212 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:11.931 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:12.524 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:13.144 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:14.071 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:15.158 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 18:08:15.814 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 18:08:15.825 | INFO     | __main__:main:201 - Done subcategory classification. Saved to /Users/heste/workspace/soccernet/sn-script/database/202406729_gpt-4o-2024-05-13_subcategory_llm_annotation.csv
