2024-06-18 17:31:18.978 | INFO     | __main__:main:110 - model_type='gpt-3.5-turbo-1106'
2024-06-18 17:31:18.978 | INFO     | __main__:main:111 - random_seed=93
2024-06-18 17:31:18.978 | INFO     | __main__:main:112 - half_number=1
2024-06-18 17:31:18.978 | INFO     | __main__:main:189 - Start subcategory classification.
2024-06-18 17:31:19.718 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:20.409 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:21.196 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:21.990 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:22.497 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:23.273 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:23.970 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:24.593 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:25.550 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:26.164 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:26.801 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:27.363 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:27.945 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:29.253 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:30.066 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:31.007 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:31.523 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:32.377 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:32.918 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:33.784 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:34.377 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:35.264 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:35.933 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:36.747 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:37.256 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:38.057 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:38.653 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:39.251 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:39.829 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:40.460 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:41.053 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:41.609 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:42.192 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:42.778 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:43.713 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:44.238 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:44.812 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:45.317 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:45.949 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-18 17:31:46.474 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:46.981 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:47.635 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:48.275 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:48.904 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:49.837 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:50.499 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:51.002 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:51.778 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:52.332 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:52.890 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-18 17:31:52.944 | INFO     | __main__:main:196 - Done subcategory classification. Saved to /Users/heste/workspace/sn-script/database/202406181731_gpt-3.5-turbo-1106_subcategory_llm_annotation.csv
