2024-03-06 19:54:52.811 | INFO     | __main__:main:100 - model_type:gpt-4-1106-preview
2024-03-06 19:54:52.811 | INFO     | __main__:main:101 - random_seed:10
2024-03-06 19:54:52.811 | INFO     | __main__:main:102 - half_number:1
2024-03-06 19:54:52.811 | INFO     | __main__:main:174 - Start subcategory classification.
2024-03-06 19:54:53.272 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:53.784 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:54.092 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:54.400 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:54.652 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:54.893 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:55.144 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:55.393 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:55.832 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:56.140 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
2024-03-06 19:54:56.446 | ERROR    | __main__:_classify_comment_with_openai:222 - Error code: 400 - {'error': {'message': "'messages' must contain the word 'json' in some form, to use 'response_format' of type 'json_object'.", 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}
