2024-07-29 19:13:51.209 | INFO     | __main__:main:115 - model_type='gpt-3.5-turbo-1106'
2024-07-29 19:13:51.209 | INFO     | __main__:main:116 - random_seed=10
2024-07-29 19:13:51.209 | INFO     | __main__:main:117 - half_number=1
2024-07-29 19:13:51.209 | INFO     | __main__:main:194 - Start subcategory classification.
2024-07-29 19:13:52.139 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:13:53.060 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:54.998 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:55.886 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:56.843 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:57.845 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:58.771 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:13:59.583 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:00.733 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:01.488 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:02.240 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:04.258 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:05.931 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:06.746 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:07.538 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:08.290 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:09.094 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:09.913 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:10.688 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:11.527 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:12.576 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:13.323 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:14.071 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:14.825 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:15.956 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:16.792 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:18.983 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:19.695 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:20.552 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:21.463 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:22.280 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:23.110 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:25.630 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:27.988 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:14:30.595 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:32.388 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:34.930 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:37.494 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:40.817 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:43.330 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:45.996 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:48.319 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:51.101 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:52.861 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:55.329 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:57.387 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:14:59.668 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:15:02.207 | INFO     | __main__:annotate_subcategory:175 - subcategory:Related
2024-07-29 19:15:06.030 | INFO     | __main__:annotate_subcategory:175 - subcategory:Relevant
2024-07-29 19:15:08.864 | INFO     | __main__:annotate_subcategory:175 - subcategory:Irrelevant
2024-07-29 19:15:08.879 | INFO     | __main__:main:201 - Done subcategory classification. Saved to /Users/heste/workspace/soccernet/sn-script/database/20240729_gpt-3.5-turbo-1106_subcategory_llm_annotation.csv
