2024-03-06 19:53:42.725 | INFO     | __main__:main:100 - model_type:gpt-4-1106-preview
2024-03-06 19:53:42.726 | INFO     | __main__:main:101 - random_seed:10
2024-03-06 19:53:42.726 | INFO     | __main__:main:102 - half_number:1
2024-03-06 19:53:42.726 | INFO     | __main__:main:176 - Start subcategory classification.
2024-03-06 19:53:42.735 | ERROR    | __main__:annotate_subcategory:162 - comment_id=591 is not annotated.
2024-03-06 19:53:42.735 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=2928 is not annotated.
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=6258 is not annotated.
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=8469 is not annotated.
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=9362 is not annotated.
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=10362 is not annotated.
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.736 | ERROR    | __main__:annotate_subcategory:162 - comment_id=10986 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=11004 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=13200 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=13446 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=19904 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=21110 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:162 - comment_id=30363 is not annotated.
2024-03-06 19:53:42.737 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=31889 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=37404 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=39486 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=44760 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=44833 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=45967 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:162 - comment_id=58545 is not annotated.
2024-03-06 19:53:42.738 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:162 - comment_id=59327 is not annotated.
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:162 - comment_id=64337 is not annotated.
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:162 - comment_id=66648 is not annotated.
2024-03-06 19:53:42.739 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.740 | ERROR    | __main__:annotate_subcategory:162 - comment_id=68619 is not annotated.
2024-03-06 19:53:42.740 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.740 | ERROR    | __main__:annotate_subcategory:162 - comment_id=70426 is not annotated.
2024-03-06 19:53:42.740 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.740 | ERROR    | __main__:annotate_subcategory:162 - comment_id=71664 is not annotated.
2024-03-06 19:53:42.742 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
2024-03-06 19:53:42.742 | ERROR    | __main__:annotate_subcategory:162 - comment_id=72552 is not annotated.
2024-03-06 19:53:42.742 | ERROR    | __main__:annotate_subcategory:163 - main.<locals>.annotate_category_binary() takes 1 positional argument but 3 were given
