2024-06-19 15:44:00.903 | INFO     | __main__:main:110 - model_type='gpt-4o-2024-05-13'
2024-06-19 15:44:00.903 | INFO     | __main__:main:111 - random_seed=93
2024-06-19 15:44:00.903 | INFO     | __main__:main:112 - half_number=1
2024-06-19 15:44:00.903 | INFO     | __main__:main:189 - Start subcategory classification.
2024-06-19 15:44:02.043 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:02.919 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:03.656 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:04.458 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:05.049 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:05.883 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:07.168 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:08.014 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:09.005 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:09.810 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:10.738 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:11.639 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:12.885 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:13.755 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:14.651 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:15.448 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:16.147 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:16.769 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:17.412 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:18.201 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:19.183 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:19.908 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:20.689 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:21.567 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:22.369 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:23.259 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:24.169 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:25.485 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:26.423 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:27.126 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:27.982 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:28.659 | INFO     | __main__:annotate_subcategory:170 - subcategory:Irrelevant
2024-06-19 15:44:29.686 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:30.502 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:31.325 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:32.246 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:33.071 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:33.860 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:34.497 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:35.420 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:36.318 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:37.157 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:37.726 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:38.525 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:39.347 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:40.233 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:40.988 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:41.974 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:43.101 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:43.819 | INFO     | __main__:annotate_subcategory:170 - subcategory:Relevant
2024-06-19 15:44:43.825 | INFO     | __main__:main:196 - Done subcategory classification. Saved to /Users/heste/workspace/sn-script/database/202406191543_gpt-4o-2024-05-13_subcategory_llm_annotation.csv
