id,game,half,start,end,text
0,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.888,7.831, Chelsea won this fixture 1-0 at Stamford Bridge back in May to claim the Barclays Premier League title with three games remaining.
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,9.812,13.693,Jose Mourinho's team had arguably done their best work in the early part of the campaign.
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,14.874,24.518,A 14-game unbeaten run which took them six points clear of the top by early December.
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,24.598,25.118,Here's Punchin.
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,27.799,30.14,Zaha now to provide the width.
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.837,32.878, Put behind by Ivanovic.
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,32.998,35.76,It is a first-minute corner for Crystal Palace.
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,36.481,39.704,He had a chat with Alan Poggi down in the media room before the game.
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,39.744,41.425,He said they were going to take the game to Chelsea.
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,41.465,42.246,"Hope they do, Tony."
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.326,44.728,It will prove to be a good one.
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,44.788,47.05,Palace fear no-one at the moment.
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,47.951,51.174,"And Chelsea, well, they need to pick it up, obviously."
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,54.977,56.878,Conor Wickham poised on the edge of the penalty area.
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,57.959,58.54,Here's Saka.
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,61.616,62.537, Palaszczuk at another corner.
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,64.278,74.906,"Patryczak, who's arrived from Wolverhampton Wanderers, where he was top scorer in the Championship last season, his most productive season, and who scored against Aston Villa last weekend."
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,78.269,82.692,"Kehl with Delaney for company, almost on the toes of Courtois, the Chelsea goalkeeper."
18,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,86.235,87.015,In by Punchett.
19,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,88.316,89.137,Now by Ivanovic.
20,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,91.408,92.489, Picked up by Suarez.
21,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,95.412,97.033,Function coming back from an offside position.
22,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,97.994,100.036,"Just what you want as well on the wayside, Tony."
23,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,100.056,102.558,Just out in the opposition's last third.
24,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,102.578,104.139,Right in the early stages of the game.
25,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,104.219,106.962,Too many teams just come to Chelsea and just sit back.
26,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,107.042,109.104,I've really been looking forward to this game all week.
27,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,109.124,112.346,I think really Palace can give Chelsea a game this afternoon.
28,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,112.727,115.709,And obviously I think Chelsea are going to progress as the season goes on.
