id,game,half,start,end,text
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.5,4.5, Chelsea won this fixture 1-0 at Stamford Bridge back in May
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,4.5,8.5, to claim the Barclays Premier League title with three games remaining
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,9.5,13.5, Jose Mourinho's team had arguably done their best work in the early part of the campaign
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,13.5,19.5, a 14 game and beaten run which took them six points clear of the top by early December
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,24.32,25.32, He's punching
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,27.32,30.32, Zaha now to provide the width
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.32,35.32," Put behind by Ivanovic, it is a first minute corner for Crystal Palace"
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,36.32,39.32, He had a chat with Alan Pardew down in the media room before the game
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,39.32,42.32," He said they were going to take the game to Chelsea, hope they do Tony"
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.32,44.32, It will prove to be a good one
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,44.32,47.32, Palace fear no one at the moment
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,47.32,51.32," And Chelsea, well they need to pick it up obviously"
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,54.32,56.32, Konowiakum poised on the edge of the penalty area
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,57.32,58.32, Here's Saka
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,59.32,62.76, Palace get another corner
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,63.76,66.76, Back to Saka who's arrived from Wolverhampton Wanderers
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,66.76,69.76, Where he was top scorer in the championship last season
18,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,69.76,71.76, His most productive season
