id,game,half,start,end,text
0,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.888,3.909, Chelsea won this fixture 1-0 at Stamford Bridge back in May.
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,4.61,7.831,To claim the Barclays Premier League title with three games remaining.
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,9.812,13.693,Jose Mourinho's team had arguably done their best work in the early part of the campaign.
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,14.874,24.518,A 14 game unbeaten run which took them six points clear of the top by early December.
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,24.598,25.118,Here's Punchin.
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,27.799,30.14,Zaha now to provide the width.
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.837,35.76," Put behind by Ivanovic, it is a first-minute corner for Crystal Palace."
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,36.481,39.704,He had a chat with Alan Pardew down in the media room before the game.
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,39.744,41.425,He said they were going to take the game to Chelsea.
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,41.465,42.246,"Hope they do, Tony."
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.326,45.989,It will prove to be a good Palace fear.
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,46.229,47.05,No-one at the moment.
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,47.951,51.174,"And Chelsea, well, they need to pick it up, obviously."
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,54.977,56.878,Konowika poised on the edge of the penalty area.
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,57.959,58.54,Here's Saka.
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,61.616,89.137," let's get another corner who's arrived from Wolverhampton Wanderers where he was top scorer in the championship last season his most productive season and he scored against Aston Villa last weekend Kale with Delaney for company almost on the toes of Curdwell the Chelsea goalkeeper in by puncher, now by Ivanovic"
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,91.408,92.489, Picked up by Suarez.
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,95.411,97.032,Penalty coming back from an offside position.
