id,game,start,end,text,付加的情報か,大分類,小分類,備考
591,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,36:13,36:31,"El Chelsea ha salido con un simple toque, gracias al dominio del espacio y a la visión y la capacidad para jugar de primera de Sefábregas que con un simple toque ha desarmado una presión entera.",1.0,,2.4,This comment contains analysis of a specific play in the game.
2928,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal,05:52,05:57,Se está especulando con la posibilidad de que al final Pogba vuelva.,1.0,,1.8,This comment refers to transfer rumors and speculations about a player.
6258,england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford,37:57,38:03,"Well he will, because his team haven't conceded yet.",1.0,,0.0,This comment refers to a specific event in the current game.
8469,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,10:51,11:00,D'ailleurs il est passeur 3 fois depuis le début de saison.,1.0,,1.4,This comment contains past person stats.
9362,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa,31:08,31:11,Сколько мяч уже держится у футболистов Ливерпуля.,1.0,,0.0,This comment contains statistics about the current game.
10362,england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa,28:27,28:37,"£50,000 fine being appealed by Jose Mourinho.",1.0,,2.3,"This comment contains specific information about a fine being appealed, which is supplementary information."
10986,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,41:34,41:50,"DT Sport, that's the place to catch up with all the European action this week, Tuesday, Wednesday and Thursday.",1.0,,3.3,This comment provides supplementary information about upcoming matches and where to catch up with the action.
11004,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,43:25,43:36,"He is in the tightest spot of his distinguished managerial career, Jose Mourinho.",1.0,,1.1,This comment refers to a specific statistic about the team's performance in the current season.
13200,england_epl/2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham,38:34,38:37,Habría sido anulado eso.,1.0,,0.0,This comment refers to a specific event in the current game.
13446,england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool,10:48,10:53,It's three out of seven now.,1.0,,1.4,This comment contains specific statistics from current and past matches.
19904,england_epl/2015-2016/2016-03-19 - 18-00 Chelsea 2 - 2 West Ham,03:49,04:05,"Kennedy, the 20-year-old Brazilian who scored the fastest goal in the Premier League this season after just 39 seconds, when Chelsea won at Norwich at the start of this month.",1.0,,1.4,This comment contains specific statistics about a player's performance in the current season.
21110,england_epl/2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea,18:41,18:56,"Francesco Guidolin has almost done what he was asked to do, and that is to keep Swansea City in the Premier League.",1.0,,2.3,This comment contains factual information about the team's performance and manager's contract.
30363,england_epl/2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough,40:13,40:22,"Если футболист Арсеналу приходит с мячом в какую-либо зону в атаке, там его обязательно ждет один или два футболиста соперника.",1.0,,0.0,The comment provides tactical insight into the game.
